target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:60274455-60274456	1.0	30131	3458	7952	4985	2043	0.4098294884653962
1:60274455-60274456	0.7278953843983146	21919	3230	7272	4687	1568	0.3345423511841263
1:60274455-60274456	0.5298316906283708	15996	2993	6531	4347	1100	0.25304807913503563
1:60274455-60274456	0.38566204211634725	11624	2732	5679	3942	682	0.17300862506341957
1:60274455-60274456	0.2807216203941176	8473	2451	4828	3497	392	0.1120960823563054
1:60274455-60274456	0.20433597178569418	6184	2203	4012	3068	174	0.056714471968709254
1:60274455-60274456	0.14873521072935117	4520	1914	3233	2609	86	0.03296282100421617
1:60274455-60274456	0.1082636733874054	3281	1632	2546	2165	42	0.019399538106235566
1:60274455-60274456	0.07880462815669913	2390	1388	1983	1755	13	0.007407407407407408
1:60274455-60274456	0.05736152510448681	1756	1133	1511	1373	6	0.004369992716678805
1:60274455-60274456	0.041753189365604	1294	906	1155	1070	1	0.0009345794392523365
1:60274455-60274456	0.03039195382313198	972	743	896	841	1	0.0011890606420927466
1:60274455-60274456	0.02212216291070448	702	570	663	631	0	0.0
1:60274455-60274456	0.01610262027560939	497	429	477	460	0	0.0
1:60274455-60274456	0.011721022975334805	363	326	356	345	0	0.0
1:60274455-60274456	0.008531678524172805	252	235	249	245	0	0.0
1:60274455-60274456	0.006210169418915616	176	168	174	172	0	0.0
1:60274455-60274456	0.004520353656360241	134	128	134	132	0	0.0
1:60274455-60274456	0.0032903445623126675	99	95	99	99	0	0.0
1:60274455-60274456	0.002395026619987486	82	81	82	82	0	0.0
1:60274455-60274456	0.0017433288221999873	58	57	58	58	0	0.0
1:60274455-60274456	0.0012689610031679222	47	46	47	47	0	0.0
1:60274455-60274456	0.0009236708571873865	34	34	34	34	0	0.0
1:60274455-60274456	0.0006723357536499335	24	24	24	24	0	0.0
1:60274455-60274456	0.0004893900918477494	16	16	16	16	0	0.0
1:60274455-60274456	0.0003562247890262444	14	14	14	14	0	0.0
1:60274455-60274456	0.0002592943797404667	12	12	12	12	0	0.0
1:60274455-60274456	0.00018873918221350977	3	3	3	3	0	0.0
1:60274455-60274456	0.00013738237958832623	1	1	1	1	0	0.0
1:60274455-60274456	0.0001	1	1	1	1	0	0.0
1:1908876-1908877	1.0	65701	4418	11148	6676	3480	0.5212702216896345
1:1908876-1908877	0.7278953843983146	47867	4177	10415	6357	2908	0.4574484819883593
1:1908876-1908877	0.5298316906283708	34675	3919	9544	5989	2256	0.37669059943229255
1:1908876-1908877	0.38566204211634725	25184	3649	8582	5578	1630	0.2922194334887056
1:1908876-1908877	0.2807216203941176	18319	3364	7582	5122	1122	0.21905505661850838
1:1908876-1908877	0.20433597178569418	13471	3076	6566	4613	723	0.15673097767179708
1:1908876-1908877	0.14873521072935117	9764	2757	5527	4067	426	0.10474551266289649
1:1908876-1908877	0.1082636733874054	7119	2443	4511	3495	237	0.06781115879828326
1:1908876-1908877	0.07880462815669913	5146	2121	3628	2950	120	0.04067796610169491
1:1908876-1908877	0.05736152510448681	3709	1806	2859	2410	49	0.02033195020746888
1:1908876-1908877	0.041753189365604	2689	1489	2202	1913	16	0.00836382645060115
1:1908876-1908877	0.03039195382313198	1938	1219	1674	1510	5	0.0033112582781456954
1:1908876-1908877	0.02212216291070448	1440	998	1290	1184	3	0.002533783783783784
1:1908876-1908877	0.01610262027560939	1020	780	953	902	1	0.0011086474501108647
1:1908876-1908877	0.011721022975334805	759	631	731	708	0	0.0
1:1908876-1908877	0.008531678524172805	555	483	543	531	0	0.0
1:1908876-1908877	0.006210169418915616	395	358	390	383	0	0.0
1:1908876-1908877	0.004520353656360241	286	267	283	279	0	0.0
1:1908876-1908877	0.0032903445623126675	203	196	202	199	0	0.0
1:1908876-1908877	0.002395026619987486	148	144	148	145	0	0.0
1:1908876-1908877	0.0017433288221999873	109	105	109	106	0	0.0
1:1908876-1908877	0.0012689610031679222	78	76	78	76	0	0.0
1:1908876-1908877	0.0009236708571873865	63	61	63	61	0	0.0
1:1908876-1908877	0.0006723357536499335	47	47	47	47	0	0.0
1:1908876-1908877	0.0004893900918477494	32	32	32	32	0	0.0
1:1908876-1908877	0.0003562247890262444	23	23	23	23	0	0.0
1:1908876-1908877	0.0002592943797404667	16	16	16	16	0	0.0
1:1908876-1908877	0.00018873918221350977	13	13	13	13	0	0.0
1:1908876-1908877	0.00013738237958832623	11	11	11	11	0	0.0
1:1908876-1908877	0.0001	10	10	10	10	0	0.0
1:1920888-1920889	1.0	43149	4151	10216	6277	2829	0.45069300621315916
1:1920888-1920889	0.7278953843983146	31310	3908	9416	5942	2196	0.3695725345001683
1:1920888-1920889	0.5298316906283708	22721	3620	8460	5530	1563	0.2826401446654611
1:1920888-1920889	0.38566204211634725	16508	3327	7448	5083	1026	0.2018493015935471
1:1920888-1920889	0.2807216203941176	12020	3009	6391	4552	578	0.12697715289982425
1:1920888-1920889	0.20433597178569418	8683	2676	5319	3975	304	0.07647798742138365
1:1920888-1920889	0.14873521072935117	6245	2319	4281	3370	149	0.04421364985163205
1:1920888-1920889	0.1082636733874054	4518	2011	3409	2797	76	0.027171969967822666
1:1920888-1920889	0.07880462815669913	3286	1696	2674	2280	25	0.010964912280701754
1:1920888-1920889	0.05736152510448681	2374	1420	2042	1807	8	0.004427227448810182
1:1920888-1920889	0.041753189365604	1708	1126	1523	1379	2	0.0014503263234227702
1:1920888-1920889	0.03039195382313198	1236	898	1137	1059	0	0.0
1:1920888-1920889	0.02212216291070448	906	693	849	797	0	0.0
