target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:3513486-3513487	1.0	51831	1810	3464	2207	1088	0.4929768917082012
1:3513486-3513487	0.7278953843983146	37872	1727	3294	2120	980	0.46226415094339623
1:3513486-3513487	0.5298316906283708	27579	1634	3101	2013	878	0.43616492796820666
1:3513486-3513487	0.38566204211634725	19991	1533	2907	1910	768	0.40209424083769635
1:3513486-3513487	0.2807216203941176	14473	1436	2695	1785	643	0.36022408963585434
1:3513486-3513487	0.20433597178569418	10503	1341	2449	1661	517	0.31125827814569534
1:3513486-3513487	0.14873521072935117	7604	1241	2204	1524	415	0.2723097112860892
1:3513486-3513487	0.1082636733874054	5518	1152	1972	1400	303	0.21642857142857144
1:3513486-3513487	0.07880462815669913	3950	1038	1708	1255	212	0.16892430278884463
1:3513486-3513487	0.05736152510448681	2902	939	1465	1112	129	0.11600719424460432
1:3513486-3513487	0.041753189365604	2145	839	1238	973	79	0.08119218910585817
1:3513486-3513487	0.03039195382313198	1570	736	1026	834	41	0.049160671462829736
1:3513486-3513487	0.02212216291070448	1126	600	790	665	24	0.03609022556390978
1:3513486-3513487	0.01610262027560939	839	511	644	559	16	0.028622540250447227
1:3513486-3513487	0.011721022975334805	595	408	487	438	5	0.01141552511415525
1:3513486-3513487	0.008531678524172805	460	344	395	365	2	0.005479452054794521
1:3513486-3513487	0.006210169418915616	323	264	296	279	1	0.0035842293906810036
1:3513486-3513487	0.004520353656360241	240	209	226	215	1	0.004651162790697674
1:3513486-3513487	0.0032903445623126675	185	170	177	172	0	0.0
1:3513486-3513487	0.002395026619987486	136	125	131	126	0	0.0
1:3513486-3513487	0.0017433288221999873	108	101	106	102	0	0.0
1:3513486-3513487	0.0012689610031679222	75	70	74	71	0	0.0
1:3513486-3513487	0.0009236708571873865	54	50	54	51	0	0.0
1:3513486-3513487	0.0006723357536499335	44	40	44	41	0	0.0
1:3513486-3513487	0.0004893900918477494	33	32	33	32	0	0.0
1:3513486-3513487	0.0003562247890262444	22	21	22	21	0	0.0
1:3513486-3513487	0.0002592943797404667	15	15	15	15	0	0.0
1:3513486-3513487	0.00018873918221350977	11	11	11	11	0	0.0
1:3513486-3513487	0.00013738237958832623	8	8	8	8	0	0.0
1:3513486-3513487	0.0001	5	5	5	5	0	0.0
1:4482110-4482111	1.0	45225	1769	3410	2164	1090	0.5036968576709797
1:4482110-4482111	0.7278953843983146	32889	1693	3280	2085	976	0.46810551558753
1:4482110-4482111	0.5298316906283708	23922	1621	3101	2006	875	0.4361914257228315
