target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:198084954-198084955	1.0	16896	1283	2489	1494	827	0.5535475234270415
1:198084954-198084955	0.7278953843983146	12317	1235	2379	1444	727	0.5034626038781164
1:198084954-198084955	0.5298316906283708	8976	1188	2249	1391	570	0.4097771387491014
1:198084954-198084955	0.38566204211634725	6511	1130	2080	1330	428	0.3218045112781955
1:198084954-198084955	0.2807216203941176	4698	1058	1869	1246	288	0.23113964686998395
1:198084954-198084955	0.20433597178569418	3425	975	1626	1144	184	0.16083916083916083
1:198084954-198084955	0.14873521072935117	2460	876	1383	1021	107	0.10479921645445642
1:198084954-198084955	0.1082636733874054	1760	750	1126	868	45	0.05184331797235023
1:198084954-198084955	0.07880462815669913	1275	651	914	747	17	0.022757697456492636
1:198084954-198084955	0.05736152510448681	924	561	735	632	2	0.0031645569620253164
1:198084954-198084955	0.041753189365604	685	472	577	518	1	0.0019305019305019305
1:198084954-198084955	0.03039195382313198	508	385	445	413	1	0.002421307506053269
1:198084954-198084955	0.02212216291070448	373	306	340	323	0	0.0
1:198084954-198084955	0.01610262027560939	270	235	254	246	0	0.0
1:198084954-198084955	0.011721022975334805	201	180	190	186	0	0.0
1:198084954-198084955	0.008531678524172805	152	141	148	145	0	0.0
1:198084954-198084955	0.006210169418915616	107	101	103	102	0	0.0
1:198084954-198084955	0.004520353656360241	81	78	79	78	0	0.0
1:198084954-198084955	0.0032903445623126675	58	57	57	57	0	0.0
1:198084954-198084955	0.002395026619987486	44	44	44	44	0	0.0
1:198084954-198084955	0.0017433288221999873	28	28	28	28	0	0.0
1:198084954-198084955	0.0012689610031679222	20	20	20	20	0	0.0
1:198084954-198084955	0.0009236708571873865	16	16	16	16	0	0.0
1:198084954-198084955	0.0006723357536499335	11	11	11	11	0	0.0
1:198084954-198084955	0.0004893900918477494	7	7	7	7	0	0.0
1:198084954-198084955	0.0003562247890262444	5	5	5	5	0	0.0
1:198084954-198084955	0.0002592943797404667	3	3	3	3	0	0.0
1:198084954-198084955	0.00018873918221350977	2	2	2	2	0	0.0
1:198084954-198084955	0.00013738237958832623	2	2	2	2	0	0.0
1:198084954-198084955	0.0001	1	1	1	1	0	0.0
1:7094534-7094535	1.0	17356	1203	2227	1355	738	0.5446494464944649
1:7094534-7094535	0.7278953843983146	12578	1150	2127	1310	661	0.5045801526717557
1:7094534-7094535	0.5298316906283708	9213	1109	2029	1268	577	0.4550473186119874
1:7094534-7094535	0.38566204211634725	6772	1047	1889	1200	466	0.3883333333333333
1:7094534-7094535	0.2807216203941176	4973	982	1740	1137	352	0.3095866314863676
1:7094534-7094535	0.20433597178569418	3604	910	1553	1061	234	0.22054665409990576
1:7094534-7094535	0.14873521072935117	2602	815	1326	950	131	0.13789473684210526
1:7094534-7094535	0.1082636733874054	1921	735	1134	860	68	0.07906976744186046
1:7094534-7094535	0.07880462815669913	1418	631	927	742	34	0.04582210242587601
1:7094534-7094535	0.05736152510448681	1040	550	757	637	17	0.026687598116169546
1:7094534-7094535	0.041753189365604	751	460	597	519	8	0.015414258188824663
1:7094534-7094535	0.03039195382313198	535	367	456	409	3	0.007334963325183374
1:7094534-7094535	0.02212216291070448	394	291	343	311	3	0.00964630225080386
1:7094534-7094535	0.01610262027560939	282	228	258	239	1	0.0041841004184100415
1:7094534-7094535	0.011721022975334805	206	171	191	178	0	0.0
1:7094534-7094535	0.008531678524172805	146	121	136	125	0	0.0
1:7094534-7094535	0.006210169418915616	98	85	93	86	0	0.0
1:7094534-7094535	0.004520353656360241	80	72	77	73	0	0.0
1:7094534-7094535	0.0032903445623126675	53	50	52	50	0	0.0
1:7094534-7094535	0.002395026619987486	46	44	45	44	0	0.0
1:7094534-7094535	0.0017433288221999873	31	31	31	31	0	0.0
1:7094534-7094535	0.0012689610031679222	22	22	22	22	0	0.0
1:7094534-7094535	0.0009236708571873865	15	15	15	15	0	0.0
1:7094534-7094535	0.0006723357536499335	12	12	12	12	0	0.0
1:7094534-7094535	0.0004893900918477494	11	11	11	11	0	0.0
1:7094534-7094535	0.0003562247890262444	8	8	8	8	0	0.0
1:7094534-7094535	0.0002592943797404667	7	7	7	7	0	0.0
1:7094534-7094535	0.00018873918221350977	4	4	4	4	0	0.0
1:7094534-7094535	0.00013738237958832623	4	4	4	4	0	0.0
1:7094534-7094535	0.0001	3	3	3	3	0	0.0
1:10166073-10166074	1.0	17149	1057	1886	1140	661	0.5798245614035088
1:10166073-10166074	0.7278953843983146	12485	1020	1821	1107	605	0.5465221318879856
1:10166073-10166074	0.5298316906283708	9045	973	1736	1063	521	0.4901222953904045
1:10166073-10166074	0.38566204211634725	6643	932	1631	1022	455	0.4452054794520548
1:10166073-10166074	0.2807216203941176	4803	889	1520	970	360	0.3711340206185567
1:10166073-10166074	0.20433597178569418	3452	850	1397	931	240	0.2577873254564984
1:10166073-10166074	0.14873521072935117	2536	778	1224	848	152	0.1792452830188679
1:10166073-10166074	0.1082636733874054	1877	693	1043	750	94	0.12533333333333332
1:10166073-10166074	0.07880462815669913	1352	598	866	648	49	0.07561728395061729
1:10166073-10166074	0.05736152510448681	988	515	691	552	19	0.034420289855072464
1:10166073-10166074	0.041753189365604	708	432	542	460	6	0.013043478260869565
1:10166073-10166074	0.03039195382313198	505	336	408	356	3	0.008426966292134831
1:10166073-10166074	0.02212216291070448	369	268	312	280	0	0.0
1:10166073-10166074	0.01610262027560939	257	205	230	214	0	0.0
1:10166073-10166074	0.011721022975334805	181	158	169	161	0	0.0
1:10166073-10166074	0.008531678524172805	134	127	132	128	0	0.0
1:10166073-10166074	0.006210169418915616	96	93	96	94	0	0.0
1:10166073-10166074	0.004520353656360241	65	63	65	64	0	0.0
1:10166073-10166074	0.0032903445623126675	46	45	46	45	0	0.0
1:10166073-10166074	0.002395026619987486	35	34	35	34	0	0.0
1:10166073-10166074	0.0017433288221999873	23	22	23	22	0	0.0
1:10166073-10166074	0.0012689610031679222	20	19	20	19	0	0.0
1:10166073-10166074	0.0009236708571873865	16	15	16	15	0	0.0
1:10166073-10166074	0.0006723357536499335	10	10	10	10	0	0.0
1:10166073-10166074	0.0004893900918477494	8	8	8	8	0	0.0
1:10166073-10166074	0.0003562247890262444	6	6	6	6	0	0.0
1:10166073-10166074	0.0002592943797404667	4	4	4	4	0	0.0
1:10166073-10166074	0.00018873918221350977	4	4	4	4	0	0.0
1:10166073-10166074	0.00013738237958832623	4	4	4	4	0	0.0
1:10166073-10166074	0.0001	3	3	3	3	0	0.0
1:14130458-14130459	1.0	11413	1316	2342	1473	663	0.45010183299389
1:14130458-14130459	0.7278953843983146	8254	1246	2182	1397	541	0.38725841088045815
1:14130458-14130459	0.5298316906283708	5995	1179	2010	1324	408	0.3081570996978852
1:14130458-14130459	0.38566204211634725	4369	1106	1808	1239	263	0.2122679580306699
1:14130458-14130459	0.2807216203941176	3154	1001	1546	1114	151	0.1355475763016158
1:14130458-14130459	0.20433597178569418	2304	899	1330	1003	83	0.08275174476570289
1:14130458-14130459	0.14873521072935117	1685	795	1104	878	36	0.04100227790432802
1:14130458-14130459	0.1082636733874054	1237	682	896	738	20	0.02710027100271003
1:14130458-14130459	0.07880462815669913	869	551	683	584	9	0.015410958904109588
1:14130458-14130459	0.05736152510448681	638	453	533	472	5	0.01059322033898305
1:14130458-14130459	0.041753189365604	461	350	397	362	2	0.0055248618784530384
1:14130458-14130459	0.03039195382313198	336	271	298	277	0	0.0
1:14130458-14130459	0.02212216291070448	244	214	228	217	0	0.0
1:14130458-14130459	0.01610262027560939	160	146	153	146	0	0.0
1:14130458-14130459	0.011721022975334805	112	102	107	102	0	0.0
1:14130458-14130459	0.008531678524172805	78	75	76	75	0	0.0
1:14130458-14130459	0.006210169418915616	58	58	58	58	0	0.0
1:14130458-14130459	0.004520353656360241	44	44	44	44	0	0.0
1:14130458-14130459	0.0032903445623126675	32	32	32	32	0	0.0
1:14130458-14130459	0.002395026619987486	24	24	24	24	0	0.0
1:14130458-14130459	0.0017433288221999873	19	19	19	19	0	0.0
1:14130458-14130459	0.0012689610031679222	13	13	13	13	0	0.0
1:14130458-14130459	0.0009236708571873865	9	9	9	9	0	0.0
1:14130458-14130459	0.0006723357536499335	7	7	7	7	0	0.0
1:14130458-14130459	0.0004893900918477494	5	5	5	5	0	0.0
1:14130458-14130459	0.0003562247890262444	2	2	2	2	0	0.0
1:14130458-14130459	0.0002592943797404667	1	1	1	1	0	0.0
1:14130458-14130459	0.00018873918221350977	1	1	1	1	0	0.0
1:14130458-14130459	0.00013738237958832623	1	1	1	1	0	0.0
1:14130458-14130459	0.0001	1	1	1	1	0	0.0
1:14305222-14305223	1.0	20539	1117	2183	1338	776	0.5799701046337817
1:14305222-14305223	0.7278953843983146	15068	1079	2113	1294	710	0.5486862442040186
1:14305222-14305223	0.5298316906283708	10938	1035	2030	1248	632	0.5064102564102564
1:14305222-14305223	0.38566204211634725	7970	993	1933	1202	543	0.45174708818635606
1:14305222-14305223	0.2807216203941176	5738	936	1794	1133	410	0.36187113857016767
1:14305222-14305223	0.20433597178569418	4171	881	1633	1066	292	0.27392120075046905
1:14305222-14305223	0.14873521072935117	3008	813	1439	990	184	0.18585858585858586
1:14305222-14305223	0.1082636733874054	2185	721	1228	883	92	0.10419026047565119
1:14305222-14305223	0.07880462815669913	1610	639	1022	766	45	0.0587467362924282
1:14305222-14305223	0.05736152510448681	1160	563	830	665	18	0.02706766917293233
1:14305222-14305223	0.041753189365604	866	472	668	561	8	0.0142602495543672
1:14305222-14305223	0.03039195382313198	616	382	510	447	2	0.0044742729306487695
1:14305222-14305223	0.02212216291070448	469	314	401	361	1	0.002770083102493075
1:14305222-14305223	0.01610262027560939	321	237	288	266	0	0.0
1:14305222-14305223	0.011721022975334805	233	187	217	205	0	0.0
1:14305222-14305223	0.008531678524172805	176	150	167	162	0	0.0
1:14305222-14305223	0.006210169418915616	127	112	124	122	0	0.0
1:14305222-14305223	0.004520353656360241	94	86	91	91	0	0.0
1:14305222-14305223	0.0032903445623126675	69	65	68	68	0	0.0
1:14305222-14305223	0.002395026619987486	49	48	49	49	0	0.0
1:14305222-14305223	0.0017433288221999873	42	41	42	42	0	0.0
1:14305222-14305223	0.0012689610031679222	26	25	26	26	0	0.0
1:14305222-14305223	0.0009236708571873865	18	17	18	18	0	0.0
1:14305222-14305223	0.0006723357536499335	14	13	14	14	0	0.0
1:14305222-14305223	0.0004893900918477494	13	12	13	13	0	0.0
1:14305222-14305223	0.0003562247890262444	10	9	10	10	0	0.0
1:14305222-14305223	0.0002592943797404667	8	8	8	8	0	0.0
1:14305222-14305223	0.00018873918221350977	6	6	6	6	0	0.0
1:14305222-14305223	0.00013738237958832623	6	6	6	6	0	0.0
1:14305222-14305223	0.0001	5	5	5	5	0	0.0
1:14368352-14368353	1.0	15745	1217	2259	1395	728	0.5218637992831541
1:14368352-14368353	0.7278953843983146	11475	1162	2144	1338	646	0.4828101644245142
