target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:185406807-185406808	1.0	43814	3012	5783	3899	1591	0.40805334701205437
1:185406807-185406808	0.7278953843983146	31958	2888	5530	3759	1404	0.37350359138068634
1:185406807-185406808	0.5298316906283708	23272	2750	5229	3591	1176	0.32748538011695905
1:185406807-185406808	0.38566204211634725	16876	2587	4845	3389	904	0.26674535261138976
1:185406807-185406808	0.2807216203941176	12299	2423	4412	3172	633	0.19955863808322824
1:185406807-185406808	0.20433597178569418	9004	2231	3912	2915	419	0.14373927958833618
1:185406807-185406808	0.14873521072935117	6477	1996	3376	2602	245	0.09415833973866257
1:185406807-185406808	0.1082636733874054	4699	1765	2832	2277	127	0.05577514273166447
1:185406807-185406808	0.07880462815669913	3363	1527	2297	1921	52	0.02706923477355544
1:185406807-185406808	0.05736152510448681	2432	1307	1822	1594	16	0.010037641154328732
1:185406807-185406808	0.041753189365604	1750	1068	1416	1261	5	0.003965107057890563
1:185406807-185406808	0.03039195382313198	1258	863	1076	993	3	0.0030211480362537764
1:185406807-185406808	0.02212216291070448	943	692	831	781	1	0.0012804097311139564
1:185406807-185406808	0.01610262027560939	682	544	625	593	0	0.0
1:185406807-185406808	0.011721022975334805	496	418	463	445	0	0.0
1:185406807-185406808	0.008531678524172805	377	327	358	346	0	0.0
1:185406807-185406808	0.006210169418915616	274	250	265	260	0	0.0
1:185406807-185406808	0.004520353656360241	209	196	203	201	0	0.0
1:185406807-185406808	0.0032903445623126675	157	149	154	152	0	0.0
1:185406807-185406808	0.002395026619987486	109	105	108	107	0	0.0
1:185406807-185406808	0.0017433288221999873	77	76	77	77	0	0.0
1:185406807-185406808	0.0012689610031679222	58	57	58	58	0	0.0
1:185406807-185406808	0.0009236708571873865	42	42	42	42	0	0.0
1:185406807-185406808	0.0006723357536499335	32	32	32	32	0	0.0
1:185406807-185406808	0.0004893900918477494	26	26	26	26	0	0.0
1:185406807-185406808	0.0003562247890262444	23	23	23	23	0	0.0
1:185406807-185406808	0.0002592943797404667	16	16	16	16	0	0.0
1:185406807-185406808	0.00018873918221350977	8	8	8	8	0	0.0
1:185406807-185406808	0.00013738237958832623	6	6	6	6	0	0.0
1:185406807-185406808	0.0001	5	5	5	5	0	0.0
1:4844003-4844004	1.0	6915	2475	4202	3591	134	0.037315510999721524
1:4844003-4844004	0.7278953843983146	4998	2194	3440	3047	61	0.020019691499835904
1:4844003-4844004	0.5298316906283708	3658	1858	2752	2491	23	0.00923323966278603
1:4844003-4844004	0.38566204211634725	2651	1542	2150	1987	8	0.004026170105686965
1:4844003-4844004	0.2807216203941176	1900	1240	1626	1532	2	0.0013054830287206266
1:4844003-4844004	0.20433597178569418	1404	1003	1247	1193	2	0.0016764459346186086
1:4844003-4844004	0.14873521072935117	1020	789	932	905	1	0.0011049723756906078
1:4844003-4844004	0.1082636733874054	734	607	686	672	1	0.001488095238095238
1:4844003-4844004	0.07880462815669913	559	479	533	524	0	0.0
1:4844003-4844004	0.05736152510448681	405	359	392	388	0	0.0
