target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:181298175-181298176	1.0	18544	9900	11630	11580	50	0.004317789291882556
1:181298175-181298176	0.7278953843983146	13425	7421	8552	8503	49	0.0057626719981183116
1:181298175-181298176	0.5298316906283708	9664	5614	6298	6250	48	0.00768
1:181298175-181298176	0.38566204211634725	6977	4216	4648	4602	46	0.009995654063450673
1:181298175-181298176	0.2807216203941176	5004	3079	3348	3303	45	0.013623978201634877
1:181298175-181298176	0.20433597178569418	3602	2289	2455	2410	45	0.01867219917012448
1:181298175-181298176	0.14873521072935117	2637	1732	1833	1790	43	0.024022346368715083
1:181298175-181298176	0.1082636733874054	1913	1297	1370	1329	41	0.030850263355906696
1:181298175-181298176	0.07880462815669913	1371	959	1009	968	41	0.042355371900826444
1:181298175-181298176	0.05736152510448681	984	715	760	719	41	0.05702364394993046
1:181298175-181298176	0.041753189365604	709	535	576	536	40	0.07462686567164178
1:181298175-181298176	0.03039195382313198	507	398	436	399	37	0.09273182957393483
1:181298175-181298176	0.02212216291070448	363	290	326	291	35	0.12027491408934708
1:181298175-181298176	0.01610262027560939	265	215	241	215	26	0.12093023255813953
1:181298175-181298176	0.011721022975334805	193	161	182	160	22	0.1375
1:181298175-181298176	0.008531678524172805	147	124	142	123	19	0.15447154471544716
1:181298175-181298176	0.006210169418915616	105	88	103	88	15	0.17045454545454544
1:181298175-181298176	0.004520353656360241	68	58	69	58	11	0.1896551724137931
1:181298175-181298176	0.0032903445623126675	50	43	54	43	11	0.2558139534883721
1:181298175-181298176	0.002395026619987486	32	30	39	30	9	0.3
1:181298175-181298176	0.0017433288221999873	21	19	25	19	6	0.3157894736842105
1:181298175-181298176	0.0012689610031679222	14	14	19	14	5	0.35714285714285715
1:181298175-181298176	0.0009236708571873865	14	14	19	14	5	0.35714285714285715
1:181298175-181298176	0.0006723357536499335	9	9	12	9	3	0.3333333333333333
1:181298175-181298176	0.0004893900918477494	7	7	9	7	2	0.2857142857142857
1:181298175-181298176	0.0003562247890262444	5	5	7	5	2	0.4
1:181298175-181298176	0.0002592943797404667	3	3	5	3	2	0.6666666666666666
1:181298175-181298176	0.00018873918221350977	3	3	5	3	2	0.6666666666666666
1:181298175-181298176	0.00013738237958832623	3	3	5	3	2	0.6666666666666666
1:181298175-181298176	0.0001	2	2	4	2	2	1.0
1:74650667-74650668	1.0	11152	5274	6294	6268	26	0.004148053605615826
1:74650667-74650668	0.7278953843983146	8104	3975	4664	4638	26	0.00560586459680897
