target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:246113203-246113204	1.0	10005	4145	4420	4356	64	0.014692378328741965
1:246113203-246113204	0.7278953843983146	7243	3167	3358	3294	64	0.019429265330904676
1:246113203-246113204	0.5298316906283708	5228	2399	2548	2487	61	0.024527543224768796
1:246113203-246113204	0.38566204211634725	3736	1794	1908	1849	59	0.0319091400757166
1:246113203-246113204	0.2807216203941176	2739	1381	1485	1428	57	0.03991596638655462
1:246113203-246113204	0.20433597178569418	1969	1041	1118	1062	56	0.05273069679849341
1:246113203-246113204	0.14873521072935117	1396	792	853	800	53	0.06625
1:246113203-246113204	0.1082636733874054	1035	603	664	611	53	0.0867430441898527
1:246113203-246113204	0.07880462815669913	760	454	512	460	52	0.11304347826086956
1:246113203-246113204	0.05736152510448681	571	368	419	369	50	0.13550135501355012
1:246113203-246113204	0.041753189365604	415	277	327	282	45	0.1595744680851064
1:246113203-246113204	0.03039195382313198	305	208	257	213	44	0.20657276995305165
1:246113203-246113204	0.02212216291070448	220	162	203	165	38	0.23030303030303031
1:246113203-246113204	0.01610262027560939	158	125	160	127	33	0.25984251968503935
1:246113203-246113204	0.011721022975334805	122	102	134	103	31	0.30097087378640774
1:246113203-246113204	0.008531678524172805	97	83	109	83	26	0.3132530120481928
1:246113203-246113204	0.006210169418915616	72	65	85	65	20	0.3076923076923077
1:246113203-246113204	0.004520353656360241	49	48	62	48	14	0.2916666666666667
1:246113203-246113204	0.0032903445623126675	35	34	42	34	8	0.23529411764705882
1:246113203-246113204	0.002395026619987486	29	28	34	28	6	0.21428571428571427
1:246113203-246113204	0.0017433288221999873	23	23	29	23	6	0.2608695652173913
1:246113203-246113204	0.0012689610031679222	18	18	23	18	5	0.2777777777777778
1:246113203-246113204	0.0009236708571873865	15	15	20	15	5	0.3333333333333333
1:246113203-246113204	0.0006723357536499335	9	9	11	9	2	0.2222222222222222
1:246113203-246113204	0.0004893900918477494	7	7	9	7	2	0.2857142857142857
1:246113203-246113204	0.0003562247890262444	4	4	5	4	1	0.25
1:246113203-246113204	0.0002592943797404667	3	3	4	3	1	0.3333333333333333
1:246113203-246113204	0.00018873918221350977	1	1	2	1	1	1.0
1:246113203-246113204	0.00013738237958832623	1	1	2	1	1	1.0
1:246113203-246113204	0.0001	1	1	2	1	1	1.0
1:226138589-226138590	0.07880462815669913	1760	1036	1164	1000	164	0.164
1:226138589-226138590	1.0	22642	9280	9349	9137	212	0.023202364014446756
1:226138589-226138590	0.7278953843983146	16324	7002	7049	6841	208	0.03040491156263704
1:226138589-226138590	0.5298316906283708	11894	5325	5368	5166	202	0.03910181958962447
1:226138589-226138590	0.38566204211634725	8555	3997	4065	3870	195	0.050387596899224806
1:226138589-226138590	0.2807216203941176	6284	3081	3161	2969	192	0.06466823846412934
1:226138589-226138590	0.20433597178569418	4618	2339	2441	2256	185	0.08200354609929078
1:226138589-226138590	0.14873521072935117	3377	1781	1895	1712	183	0.10689252336448599
1:226138589-226138590	0.1082636733874054	2432	1337	1465	1292	173	0.13390092879256965
1:226138589-226138590	0.05736152510448681	1277	803	922	770	152	0.1974025974025974
1:226138589-226138590	0.041753189365604	940	633	748	606	142	0.23432343234323433
1:226138589-226138590	0.03039195382313198	693	501	616	483	133	0.2753623188405797
1:226138589-226138590	0.02212216291070448	498	393	496	383	113	0.2950391644908616
1:226138589-226138590	0.008531678524172805	176	159	217	155	62	0.4
1:226138589-226138590	0.006210169418915616	116	106	148	106	42	0.39622641509433965
1:226138589-226138590	0.004520353656360241	87	82	116	82	34	0.4146341463414634
1:226138589-226138590	0.0032903445623126675	62	59	86	59	27	0.4576271186440678
1:226138589-226138590	0.002395026619987486	40	40	58	40	18	0.45
1:226138589-226138590	0.0017433288221999873	27	27	41	27	14	0.5185185185185185
1:226138589-226138590	0.0012689610031679222	15	15	20	15	5	0.3333333333333333
1:226138589-226138590	0.01610262027560939	350	286	374	279	95	0.34050179211469533
1:226138589-226138590	0.011721022975334805	243	207	275	201	74	0.3681592039800995
1:226138589-226138590	0.0009236708571873865	13	13	18	13	5	0.38461538461538464
1:226138589-226138590	0.0006723357536499335	9	9	13	9	4	0.4444444444444444
1:226138589-226138590	0.0004893900918477494	6	6	9	6	3	0.5
1:226138589-226138590	0.0003562247890262444	5	5	7	5	2	0.4
1:226138589-226138590	0.0002592943797404667	3	3	4	3	1	0.3333333333333333
1:226138589-226138590	0.00018873918221350977	3	3	4	3	1	0.3333333333333333
1:226138589-226138590	0.00013738237958832623	3	3	4	3	1	0.3333333333333333
1:226138589-226138590	0.0001	2	2	3	2	1	0.5
1:24903062-24903063	1.0	17342	7782	7887	7687	200	0.02601795238714713
1:24903062-24903063	0.7278953843983146	12456	5842	5926	5730	196	0.03420593368237347
1:24903062-24903063	0.5298316906283708	9154	4470	4536	4349	187	0.042998390434582666
1:24903062-24903063	0.38566204211634725	6741	3438	3518	3335	183	0.05487256371814093
1:24903062-24903063	0.2807216203941176	4889	2615	2727	2544	183	0.07193396226415094
1:24903062-24903063	0.20433597178569418	3487	1970	2099	1922	177	0.09209157127991675
1:24903062-24903063	0.14873521072935117	2537	1504	1645	1471	174	0.11828687967369136
1:24903062-24903063	0.1082636733874054	1829	1147	1288	1126	162	0.1438721136767318
1:24903062-24903063	0.07880462815669913	1310	860	992	852	140	0.1643192488262911
1:24903062-24903063	0.05736152510448681	942	655	778	653	125	0.19142419601837674
1:24903062-24903063	0.041753189365604	683	500	604	496	108	0.21774193548387097
1:24903062-24903063	0.03039195382313198	520	404	496	403	93	0.23076923076923078
1:24903062-24903063	0.02212216291070448	375	302	373	299	74	0.24749163879598662
1:24903062-24903063	0.01610262027560939	274	233	295	233	62	0.26609442060085836
1:24903062-24903063	0.011721022975334805	189	171	223	172	51	0.29651162790697677
1:24903062-24903063	0.008531678524172805	140	132	173	132	41	0.3106060606060606
