target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:22870306-22870307	1.0	26182	15608	16626	15821	805	0.050881739460211114
1:22870306-22870307	0.7278953843983146	18941	11781	12677	11897	780	0.06556274691098596
1:22870306-22870307	0.5298316906283708	13752	8939	9761	9005	756	0.08395335924486397
1:22870306-22870307	0.38566204211634725	9977	6752	7540	6810	730	0.10719530102790015
1:22870306-22870307	0.2807216203941176	7215	5118	5842	5164	678	0.13129357087529048
1:22870306-22870307	0.20433597178569418	5194	3858	4504	3891	613	0.15754304805962477
1:22870306-22870307	0.14873521072935117	3711	2886	3450	2904	546	0.18801652892561985
1:22870306-22870307	0.07880462815669913	1939	1647	2048	1651	397	0.2404603270745003
1:22870306-22870307	0.05736152510448681	1399	1215	1536	1218	318	0.26108374384236455
1:22870306-22870307	0.041753189365604	1039	933	1195	940	255	0.2712765957446808
1:22870306-22870307	0.1082636733874054	2665	2155	2637	2170	467	0.2152073732718894
1:22870306-22870307	0.03039195382313198	753	702	904	706	198	0.2804532577903683
1:22870306-22870307	0.02212216291070448	561	530	680	531	149	0.2806026365348399
1:22870306-22870307	0.01610262027560939	396	381	492	382	110	0.2879581151832461
1:22870306-22870307	0.011721022975334805	289	282	367	282	85	0.30141843971631205
1:22870306-22870307	0.008531678524172805	223	218	288	219	69	0.3150684931506849
1:22870306-22870307	0.006210169418915616	150	147	192	148	44	0.2972972972972973
1:22870306-22870307	0.004520353656360241	108	105	140	106	34	0.32075471698113206
1:22870306-22870307	0.0032903445623126675	76	75	98	75	23	0.30666666666666664
1:22870306-22870307	0.002395026619987486	50	50	67	50	17	0.34
1:22870306-22870307	0.0017433288221999873	36	36	49	36	13	0.3611111111111111
1:22870306-22870307	0.0012689610031679222	27	27	37	27	10	0.37037037037037035
1:22870306-22870307	0.0009236708571873865	20	20	28	20	8	0.4
1:22870306-22870307	0.0006723357536499335	13	13	17	13	4	0.3076923076923077
1:22870306-22870307	0.0004893900918477494	8	8	11	8	3	0.375
1:22870306-22870307	0.0003562247890262444	3	3	3	3	0	0.0
1:22870306-22870307	0.0002592943797404667	1	1	1	1	0	0.0
1:22870306-22870307	0.00018873918221350977	1	1	1	1	0	0.0
1:22870306-22870307	0.00013738237958832623	1	1	1	1	0	0.0
1:77934704-77934705	1.0	20145	10304	11041	10516	525	0.049923925446938
1:77934704-77934705	0.7278953843983146	14575	7783	8443	7924	519	0.06549722362443211
1:77934704-77934705	0.5298316906283708	10589	5904	6504	5993	511	0.08526614383447355
1:77934704-77934705	0.38566204211634725	7681	4523	5081	4586	495	0.10793720017444396
1:77934704-77934705	0.2807216203941176	5582	3440	3957	3484	473	0.13576349024110218
1:77934704-77934705	0.20433597178569418	4067	2651	3149	2699	450	0.16672841793256762
1:77934704-77934705	0.14873521072935117	2895	1993	2445	2028	417	0.20562130177514792
1:77934704-77934705	0.1082636733874054	2082	1494	1917	1534	383	0.24967405475880053
1:77934704-77934705	0.07880462815669913	1540	1166	1530	1197	333	0.2781954887218045
1:77934704-77934705	0.05736152510448681	1128	902	1213	926	287	0.3099352051835853
1:77934704-77934705	0.041753189365604	821	685	929	701	228	0.3252496433666191
1:77934704-77934705	0.03039195382313198	596	512	714	527	187	0.3548387096774194
1:77934704-77934705	0.02212216291070448	444	388	552	402	150	0.373134328358209
1:77934704-77934705	0.01610262027560939	329	291	414	302	112	0.3708609271523179
1:77934704-77934705	0.011721022975334805	232	213	309	220	89	0.40454545454545454
1:77934704-77934705	0.008531678524172805	160	150	214	153	61	0.39869281045751637
1:77934704-77934705	0.006210169418915616	104	100	134	100	34	0.34
1:77934704-77934705	0.004520353656360241	72	70	95	70	25	0.35714285714285715
1:77934704-77934705	0.0032903445623126675	51	50	70	50	20	0.4
1:77934704-77934705	0.002395026619987486	39	39	55	39	16	0.41025641025641024
1:77934704-77934705	0.0017433288221999873	28	28	39	28	11	0.39285714285714285
1:77934704-77934705	0.0012689610031679222	22	22	32	22	10	0.45454545454545453
1:77934704-77934705	0.0009236708571873865	19	19	27	19	8	0.42105263157894735
1:77934704-77934705	0.0006723357536499335	12	12	17	12	5	0.4166666666666667
1:77934704-77934705	0.0004893900918477494	10	10	14	10	4	0.4
1:77934704-77934705	0.0003562247890262444	10	10	14	10	4	0.4
1:77934704-77934705	0.0002592943797404667	7	7	9	7	2	0.2857142857142857
1:77934704-77934705	0.00018873918221350977	6	6	8	6	2	0.3333333333333333
1:77934704-77934705	0.00013738237958832623	3	3	4	3	1	0.3333333333333333
1:77934704-77934705	0.0001	2	2	3	2	1	0.5
1:55165895-55165896	1.0	10864	7288	7893	7327	566	0.07724853282380237
1:55165895-55165896	0.7278953843983146	7864	5517	6088	5559	529	0.09516100017988847
1:55165895-55165896	0.5298316906283708	5725	4199	4714	4219	495	0.11732638065892391
1:55165895-55165896	0.38566204211634725	4107	3170	3631	3193	438	0.1371750704666458
1:55165895-55165896	0.2807216203941176	2935	2368	2766	2386	380	0.15926236378876782
1:55165895-55165896	0.20433597178569418	2137	1789	2127	1805	322	0.17839335180055402
1:55165895-55165896	0.14873521072935117	1517	1308	1592	1324	268	0.20241691842900303
1:55165895-55165896	0.1082636733874054	1086	963	1188	975	213	0.21846153846153846
1:55165895-55165896	0.07880462815669913	791	713	879	721	158	0.21914008321775313
1:55165895-55165896	0.05736152510448681	578	531	660	538	122	0.22676579925650558
1:55165895-55165896	0.041753189365604	408	389	487	394	93	0.23604060913705585
1:55165895-55165896	0.03039195382313198	305	296	365	299	66	0.22073578595317725
1:55165895-55165896	0.02212216291070448	215	209	257	211	46	0.21800947867298578
1:55165895-55165896	0.01610262027560939	160	155	189	157	32	0.20382165605095542
1:55165895-55165896	0.011721022975334805	123	118	143	120	23	0.19166666666666668
1:55165895-55165896	0.008531678524172805	81	78	88	79	9	0.11392405063291139
1:55165895-55165896	0.006210169418915616	60	59	66	59	7	0.11864406779661017
