target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:241923765-241923766	1.0	13233	6807	6884	6769	115	0.016989215541438913
1:241923765-241923766	0.7278953843983146	9572	5014	5080	4969	111	0.022338498691889717
1:241923765-241923766	0.5298316906283708	6997	3743	3805	3698	107	0.02893455922120065
1:241923765-241923766	0.38566204211634725	4966	2713	2778	2671	107	0.040059902658180456
1:241923765-241923766	0.2807216203941176	3578	2030	2093	1988	105	0.0528169014084507
1:241923765-241923766	0.20433597178569418	2603	1520	1601	1496	105	0.07018716577540107
1:241923765-241923766	0.14873521072935117	1884	1135	1222	1118	104	0.09302325581395349
1:241923765-241923766	0.1082636733874054	1395	868	958	856	102	0.1191588785046729
1:241923765-241923766	0.07880462815669913	1036	656	743	646	97	0.15015479876160992
1:241923765-241923766	0.05736152510448681	755	503	584	493	91	0.1845841784989858
1:241923765-241923766	0.041753189365604	574	402	481	396	85	0.21464646464646464
1:241923765-241923766	0.03039195382313198	403	291	360	288	72	0.25
1:241923765-241923766	0.02212216291070448	277	211	271	210	61	0.2904761904761905
1:241923765-241923766	0.01610262027560939	207	168	218	168	50	0.2976190476190476
1:241923765-241923766	0.011721022975334805	146	126	168	125	43	0.344
1:241923765-241923766	0.008531678524172805	105	91	122	90	32	0.35555555555555557
1:241923765-241923766	0.006210169418915616	78	72	98	71	27	0.38028169014084506
1:241923765-241923766	0.004520353656360241	52	49	68	49	19	0.3877551020408163
1:241923765-241923766	0.0032903445623126675	37	36	50	36	14	0.3888888888888889
1:241923765-241923766	0.002395026619987486	20	20	29	20	9	0.45
1:241923765-241923766	0.0017433288221999873	13	13	21	13	8	0.6153846153846154
1:241923765-241923766	0.0012689610031679222	12	12	19	12	7	0.5833333333333334
1:241923765-241923766	0.0009236708571873865	10	10	15	10	5	0.5
1:241923765-241923766	0.0006723357536499335	7	7	11	7	4	0.5714285714285714
1:241923765-241923766	0.0004893900918477494	6	6	9	6	3	0.5
1:241923765-241923766	0.0003562247890262444	5	5	7	5	2	0.4
1:241923765-241923766	0.0002592943797404667	4	4	6	4	2	0.5
1:241923765-241923766	0.00018873918221350977	3	3	5	3	2	0.6666666666666666
1:241923765-241923766	0.00013738237958832623	2	2	4	2	2	1.0
1:241923765-241923766	0.0001	2	2	4	2	2	1.0
1:45386262-45386263	1.0	14821	8148	8100	7947	153	0.01925254813137033
1:45386262-45386263	0.7278953843983146	10688	6012	5990	5841	149	0.025509330594076358
1:45386262-45386263	0.5298316906283708	7696	4445	4471	4327	144	0.033279408366073494
1:45386262-45386263	0.2807216203941176	4011	2450	2519	2378	141	0.059293523969722456
1:45386262-45386263	0.20433597178569418	2908	1815	1901	1765	136	0.07705382436260623
1:45386262-45386263	0.14873521072935117	2098	1349	1438	1308	130	0.09938837920489296
1:45386262-45386263	0.1082636733874054	1525	1001	1090	965	125	0.12953367875647667
1:45386262-45386263	0.07880462815669913	1140	779	870	752	118	0.15691489361702127
1:45386262-45386263	0.05736152510448681	825	598	682	574	108	0.18815331010452963
1:45386262-45386263	0.38566204211634725	5544	3298	3350	3208	142	0.0442643391521197
1:45386262-45386263	0.041753189365604	604	451	536	440	96	0.21818181818181817
1:45386262-45386263	0.03039195382313198	438	343	420	337	83	0.24629080118694363
1:45386262-45386263	0.02212216291070448	308	257	321	252	69	0.27380952380952384
1:45386262-45386263	0.01610262027560939	218	190	246	187	59	0.3155080213903743
1:45386262-45386263	0.011721022975334805	159	143	187	139	48	0.34532374100719426
1:45386262-45386263	0.008531678524172805	116	107	141	104	37	0.3557692307692308
1:45386262-45386263	0.006210169418915616	80	76	105	74	31	0.4189189189189189
1:45386262-45386263	0.004520353656360241	52	49	71	49	22	0.4489795918367347
