target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:182625881-182625882	1.0	19055	9181	9329	9222	107	0.011602689221427022
1:182625881-182625882	0.7278953843983146	13832	6912	6974	6869	105	0.015286067841024894
1:182625881-182625882	0.5298316906283708	10069	5179	5200	5095	105	0.020608439646712464
1:182625881-182625882	0.38566204211634725	7327	3846	3850	3746	104	0.027762947143619862
1:182625881-182625882	0.2807216203941176	5332	2867	2891	2790	101	0.03620071684587814
1:182625881-182625882	0.20433597178569418	3883	2162	2181	2082	99	0.04755043227665706
1:182625881-182625882	0.14873521072935117	2811	1621	1651	1553	98	0.06310367031551835
1:182625881-182625882	0.1082636733874054	2050	1220	1260	1166	94	0.08061749571183534
1:182625881-182625882	0.07880462815669913	1500	920	971	882	89	0.10090702947845805
1:182625881-182625882	0.05736152510448681	1071	688	742	657	85	0.1293759512937595
1:182625881-182625882	0.041753189365604	751	499	558	476	82	0.1722689075630252
1:182625881-182625882	0.03039195382313198	539	377	438	360	78	0.21666666666666667
1:182625881-182625882	0.02212216291070448	392	286	342	273	69	0.25274725274725274
1:182625881-182625882	0.01610262027560939	293	224	277	213	64	0.3004694835680751
1:182625881-182625882	0.011721022975334805	214	175	222	166	56	0.3373493975903614
1:182625881-182625882	0.008531678524172805	168	150	192	143	49	0.34265734265734266
1:182625881-182625882	0.006210169418915616	120	109	140	105	35	0.3333333333333333
1:182625881-182625882	0.004520353656360241	87	83	111	83	28	0.3373493975903614
1:182625881-182625882	0.0032903445623126675	67	65	86	65	21	0.3230769230769231
1:182625881-182625882	0.002395026619987486	51	49	66	49	17	0.3469387755102041
1:182625881-182625882	0.0017433288221999873	32	31	41	31	10	0.3225806451612903
1:182625881-182625882	0.0012689610031679222	19	18	24	18	6	0.3333333333333333
1:182625881-182625882	0.0009236708571873865	15	14	17	14	3	0.21428571428571427
1:182625881-182625882	0.0006723357536499335	11	10	12	10	2	0.2
1:182625881-182625882	0.0004893900918477494	7	6	8	6	2	0.3333333333333333
1:182625881-182625882	0.0003562247890262444	5	5	7	5	2	0.4
1:182625881-182625882	0.0002592943797404667	2	2	2	2	0	0.0
1:182625881-182625882	0.00018873918221350977	2	2	2	2	0	0.0
1:152686228-152686229	1.0	11058	4205	4347	4293	54	0.012578616352201259
1:152686228-152686229	0.7278953843983146	7968	3076	3159	3105	54	0.017391304347826087
1:152686228-152686229	0.5298316906283708	5735	2298	2354	2302	52	0.022589052997393572
1:152686228-152686229	0.38566204211634725	4123	1692	1740	1689	51	0.03019538188277087
1:152686228-152686229	0.2807216203941176	2985	1260	1297	1246	51	0.040930979133226325
1:152686228-152686229	0.20433597178569418	2202	960	1003	953	50	0.05246589716684155
1:152686228-152686229	0.14873521072935117	1583	710	747	697	50	0.07173601147776183
1:152686228-152686229	0.1082636733874054	1148	538	575	526	49	0.09315589353612168
1:152686228-152686229	0.07880462815669913	821	411	447	401	46	0.11471321695760599
1:152686228-152686229	0.05736152510448681	604	330	367	321	46	0.14330218068535824
1:152686228-152686229	0.041753189365604	441	254	290	245	45	0.1836734693877551
1:152686228-152686229	0.03039195382313198	315	191	225	183	42	0.22950819672131148
1:152686228-152686229	0.02212216291070448	223	142	175	139	36	0.2589928057553957
1:152686228-152686229	0.01610262027560939	170	117	150	114	36	0.3157894736842105
1:152686228-152686229	0.011721022975334805	122	88	120	86	34	0.3953488372093023
1:152686228-152686229	0.008531678524172805	90	72	100	70	30	0.42857142857142855
1:152686228-152686229	0.006210169418915616	60	48	70	48	22	0.4583333333333333
1:152686228-152686229	0.004520353656360241	42	36	53	36	17	0.4722222222222222
1:152686228-152686229	0.0032903445623126675	29	24	38	24	14	0.5833333333333334
1:152686228-152686229	0.002395026619987486	23	19	30	19	11	0.5789473684210527
1:152686228-152686229	0.0017433288221999873	19	16	25	16	9	0.5625
1:152686228-152686229	0.0012689610031679222	16	14	21	14	7	0.5
1:152686228-152686229	0.0009236708571873865	13	12	19	12	7	0.5833333333333334
1:152686228-152686229	0.0006723357536499335	9	9	15	9	6	0.6666666666666666
1:152686228-152686229	0.0004893900918477494	7	7	11	7	4	0.5714285714285714
1:152686228-152686229	0.0003562247890262444	6	6	9	6	3	0.5
1:152686228-152686229	0.0002592943797404667	4	4	7	4	3	0.75
1:152686228-152686229	0.00018873918221350977	3	3	5	3	2	0.6666666666666666
1:152686228-152686229	0.00013738237958832623	2	2	3	2	1	0.5
1:152686228-152686229	0.0001	1	1	2	1	1	1.0
1:177932952-177932953	1.0	12920	5140	5237	5185	52	0.010028929604628737
1:177932952-177932953	0.7278953843983146	9320	3845	3874	3823	51	0.013340308658121894
1:177932952-177932953	0.5298316906283708	6823	2913	2902	2852	50	0.01753155680224404
1:177932952-177932953	0.38566204211634725	4872	2158	2129	2079	50	0.02405002405002405
1:177932952-177932953	0.2807216203941176	3584	1617	1598	1548	50	0.03229974160206718
1:177932952-177932953	0.20433597178569418	2615	1208	1193	1143	50	0.04374453193350831
1:177932952-177932953	0.14873521072935117	1876	896	896	848	48	0.05660377358490566
1:177932952-177932953	0.1082636733874054	1398	660	667	619	48	0.07754442649434572
1:177932952-177932953	0.07880462815669913	1009	475	494	449	45	0.10022271714922049
1:177932952-177932953	0.05736152510448681	720	352	379	335	44	0.13134328358208955
1:177932952-177932953	0.041753189365604	506	257	282	241	41	0.17012448132780084
1:177932952-177932953	0.03039195382313198	374	195	227	187	40	0.21390374331550802
1:177932952-177932953	0.02212216291070448	271	163	197	157	40	0.25477707006369427
1:177932952-177932953	0.01610262027560939	211	133	168	129	39	0.3023255813953488
1:177932952-177932953	0.011721022975334805	154	100	131	96	35	0.3645833333333333
1:177932952-177932953	0.008531678524172805	118	84	114	81	33	0.4074074074074074
1:177932952-177932953	0.006210169418915616	76	56	81	53	28	0.5283018867924528
1:177932952-177932953	0.004520353656360241	56	44	64	41	23	0.5609756097560976
1:177932952-177932953	0.0032903445623126675	35	30	47	29	18	0.6206896551724138
1:177932952-177932953	0.002395026619987486	24	22	33	21	12	0.5714285714285714
1:177932952-177932953	0.0017433288221999873	18	16	24	15	9	0.6
1:177932952-177932953	0.0012689610031679222	13	11	18	10	8	0.8
1:177932952-177932953	0.0009236708571873865	11	10	16	9	7	0.7777777777777778
1:177932952-177932953	0.0006723357536499335	6	5	9	5	4	0.8
1:177932952-177932953	0.0004893900918477494	5	4	7	4	3	0.75
1:177932952-177932953	0.0003562247890262444	3	3	5	3	2	0.6666666666666666
1:177932952-177932953	0.0002592943797404667	1	1	2	1	1	1.0
1:177932952-177932953	0.00018873918221350977	1	1	2	1	1	1.0
1:177932952-177932953	0.00013738237958832623	1	1	2	1	1	1.0
1:177932952-177932953	0.0001	1	1	2	1	1	1.0
1:37626638-37626639	1.0	17857	7813	7982	7864	118	0.015005086469989827
1:37626638-37626639	0.7278953843983146	12949	5859	5960	5843	117	0.02002396029436933
1:37626638-37626639	0.5298316906283708	9374	4405	4462	4348	114	0.02621895124195032
1:37626638-37626639	0.38566204211634725	6788	3262	3297	3186	111	0.03483992467043315
1:37626638-37626639	0.2807216203941176	4863	2418	2434	2328	106	0.04553264604810996
1:37626638-37626639	0.20433597178569418	3494	1787	1815	1711	104	0.06078316773816481
1:37626638-37626639	0.14873521072935117	2520	1340	1374	1273	101	0.0793401413982718
1:37626638-37626639	0.1082636733874054	1791	995	1041	943	98	0.10392364793213149
1:37626638-37626639	0.07880462815669913	1299	755	809	712	97	0.13623595505617977
1:37626638-37626639	0.05736152510448681	927	567	632	540	92	0.17037037037037037
1:37626638-37626639	0.041753189365604	671	435	502	418	84	0.20095693779904306
1:37626638-37626639	0.03039195382313198	494	335	400	326	74	0.22699386503067484
1:37626638-37626639	0.02212216291070448	346	256	313	251	62	0.24701195219123506
1:37626638-37626639	0.01610262027560939	247	194	244	192	52	0.2708333333333333
1:37626638-37626639	0.011721022975334805	181	140	183	140	43	0.30714285714285716
1:37626638-37626639	0.008531678524172805	141	114	149	113	36	0.3185840707964602
1:37626638-37626639	0.006210169418915616	98	79	109	79	30	0.379746835443038
1:37626638-37626639	0.004520353656360241	71	62	87	62	25	0.4032258064516129
1:37626638-37626639	0.0032903445623126675	54	50	67	50	17	0.34
1:37626638-37626639	0.002395026619987486	44	42	56	42	14	0.3333333333333333
1:37626638-37626639	0.0017433288221999873	27	26	36	26	10	0.38461538461538464
1:37626638-37626639	0.0012689610031679222	18	18	26	18	8	0.4444444444444444
1:37626638-37626639	0.0009236708571873865	14	14	20	14	6	0.42857142857142855
1:37626638-37626639	0.0006723357536499335	8	8	12	8	4	0.5
1:37626638-37626639	0.0004893900918477494	5	5	7	5	2	0.4
1:37626638-37626639	0.0003562247890262444	4	4	6	4	2	0.5
1:37626638-37626639	0.0002592943797404667	2	2	3	2	1	0.5
1:37626638-37626639	0.00018873918221350977	1	1	1	1	0	0.0
1:205244480-205244481	1.0	14350	7288	7452	7333	119	0.01622801036410746
1:205244480-205244481	0.7278953843983146	10407	5477	5570	5452	118	0.021643433602347762
1:205244480-205244481	0.5298316906283708	7496	4085	4147	4034	113	0.028011898859692613
1:205244480-205244481	0.38566204211634725	5480	3069	3112	3003	109	0.036297036297036296
1:205244480-205244481	0.2807216203941176	3976	2314	2358	2250	108	0.048
1:205244480-205244481	0.20433597178569418	2904	1746	1809	1703	106	0.062243100411039344
1:205244480-205244481	0.14873521072935117	2128	1303	1380	1274	106	0.08320251177394035
1:205244480-205244481	0.1082636733874054	1503	946	1019	920	99	0.10760869565217392
1:205244480-205244481	0.07880462815669913	1102	716	791	696	95	0.13649425287356323
1:205244480-205244481	0.05736152510448681	806	532	602	517	85	0.1644100580270793
1:205244480-205244481	0.041753189365604	571	389	462	381	81	0.2125984251968504
1:205244480-205244481	0.03039195382313198	405	289	362	287	75	0.2613240418118467
1:205244480-205244481	0.02212216291070448	301	219	284	219	65	0.2968036529680365
1:205244480-205244481	0.01610262027560939	218	166	222	165	57	0.34545454545454546
1:205244480-205244481	0.011721022975334805	159	125	171	124	47	0.3790322580645161
1:205244480-205244481	0.008531678524172805	113	96	133	95	38	0.4
1:205244480-205244481	0.006210169418915616	83	75	105	74	31	0.4189189189189189
1:205244480-205244481	0.004520353656360241	63	60	85	60	25	0.4166666666666667
1:205244480-205244481	0.0032903445623126675	39	39	54	39	15	0.38461538461538464
1:205244480-205244481	0.002395026619987486	24	24	34	24	10	0.4166666666666667
1:205244480-205244481	0.0017433288221999873	16	16	22	16	6	0.375
1:205244480-205244481	0.0012689610031679222	10	10	15	10	5	0.5
1:205244480-205244481	0.0009236708571873865	8	8	11	8	3	0.375
1:205244480-205244481	0.0006723357536499335	5	5	6	5	1	0.2
1:205244480-205244481	0.0004893900918477494	3	3	4	3	1	0.3333333333333333
1:205244480-205244481	0.0003562247890262444	3	3	4	3	1	0.3333333333333333
1:205244480-205244481	0.0002592943797404667	3	3	4	3	1	0.3333333333333333
1:205244480-205244481	0.00018873918221350977	2	2	3	2	1	0.5
1:205244480-205244481	0.00013738237958832623	1	1	2	1	1	1.0
1:3072381-3072382	1.0	16151	8259	8437	8340	97	0.011630695443645084
1:3072381-3072382	0.7278953843983146	11691	6177	6276	6181	95	0.01536968128134606
1:3072381-3072382	0.5298316906283708	8484	4607	4665	4571	94	0.02056442791511704
1:3072381-3072382	0.38566204211634725	6135	3391	3436	3342	94	0.028126870137642132
1:3072381-3072382	0.2807216203941176	4485	2545	2569	2477	92	0.03714170367379895
1:3072381-3072382	0.20433597178569418	3259	1896	1931	1840	91	0.049456521739130434
1:3072381-3072382	0.14873521072935117	2390	1437	1480	1390	90	0.06474820143884892
